#WORD	NN	VB	JJ	RB	DT	IN	OT
the	0.000	0.000	0.000	0.000	0.000	0.000	1.000
,	0.000	0.000	0.000	0.000	0.000	0.000	1.000
of	0.000	0.000	0.000	0.000	0.000	1.000	0.000
and	0.000	0.000	0.000	0.000	0.000	0.000	1.000
a	0.003	0.000	0.000	0.000	0.000	0.000	0.996
in	0.000	0.000	0.000	0.022	0.000	0.978	0.000
to	0.000	0.000	0.000	0.000	0.000	0.425	0.575
that	0.000	0.000	0.000	0.000	0.000	0.000	1.000
is	0.000	1.000	0.000	0.000	0.000	0.000	0.000
was	0.000	1.000	0.000	0.000	0.000	0.000	0.000
he	0.000	0.000	0.000	0.000	0.000	0.000	1.000
for	0.000	0.000	0.000	0.001	0.000	0.946	0.053
it	0.000	0.000	0.000	0.000	0.000	0.000	1.000
with	0.000	0.000	0.000	0.000	0.000	1.000	0.000
as	0.000	0.000	0.000	0.000	0.000	0.017	0.983
his	0.000	0.000	0.000	0.000	0.995	0.000	0.005
be	0.000	1.000	0.000	0.000	0.000	0.000	0.000
on	0.000	0.000	0.000	0.083	0.000	0.917	0.000
at	0.000	0.000	0.000	0.000	0.000	1.000	0.000
by	0.000	0.000	0.000	0.012	0.000	0.988	0.000
this	0.000	0.000	0.000	0.000	0.000	0.000	1.000
had	0.000	1.000	0.000	0.000	0.000	0.000	0.000
i	0.001	0.000	0.000	0.000	0.000	0.000	0.999
not	0.000	0.000	0.000	0.000	0.000	0.000	1.000
are	0.000	1.000	0.000	0.000	0.000	0.000	0.000
from	0.000	0.000	0.000	0.000	0.000	1.000	0.000
but	0.000	0.000	0.000	0.006	0.000	0.030	0.964
or	0.000	0.000	0.000	0.000	0.000	0.000	1.000
have	0.000	1.000	0.000	0.000	0.000	0.000	0.000
an	0.000	0.000	0.000	0.000	0.000	0.000	1.000
they	0.000	0.000	0.000	0.000	0.000	0.000	1.000
which	0.000	0.000	0.000	0.000	0.000	0.000	1.000
--	0.000	0.000	0.000	0.000	0.000	0.000	1.000
were	0.000	1.000	0.000	0.000	0.000	0.000	0.000
one	0.000	0.000	0.000	0.000	0.001	0.000	0.999
you	0.000	0.000	0.000	0.000	0.000	0.000	1.000
all	0.000	0.000	0.000	0.001	0.000	0.000	0.999
she	0.000	0.000	0.000	0.000	0.000	0.000	1.000
would	0.000	0.000	0.000	0.000	0.000	0.000	1.000
their	0.000	0.000	0.000	0.000	1.000	0.000	0.000
we	0.000	0.000	0.000	0.000	0.000	0.000	1.000
him	0.000	0.000	0.000	0.000	0.000	0.000	1.000
been	0.000	1.000	0.000	0.000	0.000	0.000	0.000
has	0.000	1.000	0.000	0.000	0.000	0.000	0.000
when	0.000	0.000	0.000	0.000	0.000	0.000	1.000
)	0.000	0.000	0.000	0.000	0.000	0.000	1.000
(	0.000	0.000	0.000	0.000	0.000	0.000	1.000
who	0.000	0.000	0.000	0.000	0.000	0.000	1.000
if	0.000	0.000	0.000	0.000	0.000	0.000	1.000
there	0.000	0.000	0.000	0.206	0.000	0.000	0.794
will	0.046	0.000	0.000	0.000	0.000	0.000	0.953
more	0.006	0.000	0.000	0.089	0.000	0.000	0.905
said	0.000	1.000	0.000	0.000	0.000	0.000	0.000
no	0.000	0.000	0.000	0.085	0.000	0.000	0.915
her	0.000	0.000	0.000	0.000	0.635	0.000	0.365
