#WORD	noun	verb	adjective	adverb
is	0	1	0	0
was	0	1	0	0
be	0	1	0	0
had	0	1	0	0
are	0	1	0	0
have	0	1	0	0
were	0	1	0	0
been	0	1	0	0
has	0	1	0	0
said	0	1	0	0
up	0	0	0	1
out	0	0	0	1
time	0	0	0	0
only	0	0	0	0
do	0	0	0	0
then	0	0	0	0
now	0	0	0	1
man	0	0	0	0
made	0	1	0	0
also	0	0	0	1
new	0	0	1	0
did	0	1	0	0
even	0	0	0	0
af	1	0	0	0
such	0	0	1	0
years	1	0	0	0
way	0	0	0	0
mr.	1	0	0	0
people	0	0	0	0
make	0	0	0	0
just	0	0	0	0
see	0	1	0	0
men	1	0	0	0
own	0	0	0	0
get	0	1	0	0
here	0	0	0	1
back	0	0	0	0
still	0	0	0	0
good	0	0	0	0
down	0	0	0	0
never	0	0	0	1
world	1	0	0	0
being	0	0	0	0
life	1	0	0	0
know	0	0	0	0
well	0	0	0	0
year	1	0	0	0
day	1	0	0	0
come	0	1	0	0
came	0	1	0	0
go	0	0	0	0
used	0	1	0	0
take	0	0	0	0
great	0	0	0	0
old	0	0	1	0
work	0	0	0	0
about	0	0	0	1
so	0	0	0	1
again	0	0	0	1
there	0	0	0	1
on	0	0	0	1
found	0	1	0	0
mrs.	1	0	0	0
state	0	0	0	0
home	0	0	0	0
long	0	0	0	0
small	0	0	0	0
went	0	1	0	0
don't	0	1	0	0
say	0	0	0	0
off	0	0	0	1
got	0	1	0	0
place	0	0	0	0
part	0	0	0	0
does	0	1	0	0
course	1	0	0	0
in	0	0	0	0
number	0	0	0	0
always	0	0	0	1
away	0	0	0	1
fact	1	0	0	0
put	0	1	0	0
think	0	1	0	0
took	0	1	0	0
water	0	0	0	0
high	0	0	0	0
american	0	0	0	0
hand	0	0	0	0
once	0	0	0	1
thought	0	0	0	0
school	0	0	0	0
told	0	1	0	0
head	0	0	0	0
however	0	0	0	1
called	0	1	0	0
didn't	0	1	0	0
night	1	0	0	0
asked	0	1	0	0
find	0	0	0	0
going	0	0	0	0
eyes	1	0	0	0
knew	0	1	0	0
system	1	0	0	0
house	0	0	0	0
over	0	0	0	0
give	0	0	0	0
group	0	0	0	0
days	1	0	0	0
let	0	0	0	0
given	0	1	0	0
possible	0	0	1	0
often	0	0	0	1
important	0	0	1	0
program	0	0	0	0
looked	0	1	0	0
room	0	0	0	0
side	0	0	0	0
young	0	0	0	0
things	1	0	0	0
social	0	0	0	0
become	0	1	0	0
business	1	0	0	0
end	0	0	0	0
felt	0	0	0	0
large	0	0	0	0
case	0	0	0	0
use	0	0	0	0
point	0	0	0	0
saw	0	0	0	0
children	1	0	0	0
later	0	0	0	0
order	0	0	0	0
left	0	0	0	0
ever	0	0	0	1
seemed	0	1	0	0
first	0	0	0	1
thing	1	0	0	0
power	0	0	0	0
interest	0	0	0	0
set	0	0	0	0
others	1	0	0	0
turned	0	1	0	0
big	0	0	0	0
face	0	0	0	0
area	1	0	0	0
done	0	1	0	0
members	1	0	0	0
want	0	0	0	0
family	1	0	0	0
began	0	1	0	0
different	0	0	1	0
door	1	0	0	0
country	1	0	0	0
problem	1	0	0	0
development	1	0	0	0
perhaps	0	0	0	1
john	1	0	0	0
look	0	0	0	0
war	0	0	0	0
form	0	0	0	0
it's	0	1	0	0
sense	0	0	0	0
thus	0	0	0	1
kind	0	0	0	0
general	0	0	0	0
action	1	0	0	0
best	0	0	0	0
mind	0	0	0	0
example	1	0	0	0
gave	0	1	0	0
hands	1	0	0	0
little	0	0	0	0
feet	1	0	0	0
too	0	0	0	1
yet	0	0	0	1
today	1	0	0	0
line	0	0	0	0
matter	0	0	0	0
taken	0	1	0	0
law	1	0	0	0
seen	0	1	0	0
having	0	1	0	0
almost	0	0	0	1
local	0	0	0	0
god	1	0	0	0
government	1	0	0	0
history	1	0	0	0
body	1	0	0	0
public	0	0	0	0
already	0	0	0	1
car	1	0	0	0
words	1	0	0	0
i'm	0	1	0	0
death	1	0	0	0
together	0	0	0	1
money	1	0	0	0
information	1	0	0	0
period	1	0	0	0
word	1	0	0	0
city	1	0	0	0
tell	0	1	0	0
times	0	0	0	0
human	0	0	0	0
probably	0	0	0	1
held	0	1	0	0
seems	0	1	0	0
experience	0	0	0	0
whole	0	0	0	0
keep	0	0	0	0
political	0	0	1	0
week	1	0	0	0
name	0	0	0	0
far	0	0	0	0
light	0	0	0	0
brought	0	1	0	0
white	0	0	0	0
field	0	0	0	0
ago	0	0	0	1
became	0	1	0	0
known	0	1	0	0
moment	1	0	0	0
available	0	0	1	0
service	0	0	0	0
early	0	0	0	0
heard	0	0	0	0
problems	1	0	0	0
open	0	0	0	0
reason	0	0	0	0
around	0	0	0	1
boy	1	0	0	0
position	0	0	0	0
areas	1	0	0	0
job	1	0	0	0
real	0	0	1	0
better	0	0	0	0
question	0	0	0	0
making	0	0	0	0
special	0	0	0	0
seem	0	1	0	0
wife	1	0	0	0
am	0	0	0	0
miss	0	0	0	0
really	0	0	0	1
wanted	0	1	0	0
present	0	0	0	0
sure	0	0	0	0
church	1	0	0	0
free	0	0	0	0
economic	0	0	1	0
right	0	0	0	0
certain	0	0	1	0
major	0	0	0	0
sometimes	0	0	0	1
voice	1	0	0	0
full	0	0	0	0
company	1	0	0	0
necessary	0	0	1	0
true	0	0	0	0
community	1	0	0	0
able	0	0	1	0
air	1	0	0	0
national	0	0	0	0
policy	1	0	0	0
provide	0	1	0	0
woman	0	0	0	0
age	0	0	0	0
office	1	0	0	0
child	1	0	0	0
much	0	0	0	1
stood	0	1	0	0
girl	1	0	0	0
help	0	0	0	0
students	1	0	0	0
like	0	0	0	0
morning	1	0	0	0
usually	0	0	0	1
rate	0	0	0	0
therefore	0	0	0	1
evidence	0	0	0	0
means	0	0	0	0
show	0	0	0	0
common	0	0	0	0
feel	0	0	0	0
music	1	0	0	0
believe	0	1	0	0
study	0	0	0	0
soon	0	0	0	1
town	1	0	0	0
effect	0	0	0	0
result	0	0	0	0
says	0	0	0	0
strong	0	0	0	0
value	0	0	0	0
clear	0	0	0	0
lines	0	0	0	0
more	0	0	0	0
situation	1	0	0	0
land	0	0	0	0
level	0	0	0	0
gone	0	1	0	0
society	1	0	0	0
started	0	1	0	0
minutes	1	0	0	0
surface	0	0	0	0
following	0	0	0	0
mother	0	0	0	0
personal	0	0	1	0
finally	0	0	0	1
idea	1	0	0	0
leave	0	0	0	0
modern	0	0	1	0
party	0	0	0	0
process	0	0	0	0
type	0	0	0	0
short	0	0	0	0
months	1	0	0	0
schools	1	0	0	0
alone	0	0	0	0
military	0	0	0	0
that's	0	1	0	0
art	0	0	0	0
kept	0	1	0	0
women	1	0	0	0
basis	1	0	0	0
century	1	0	0	0
expected	0	1	0	0
nature	1	0	0	0
private	0	0	0	0
control	0	0	0	0
values	0	0	0	0
moved	0	1	0	0
pressure	0	0	0	0
required	0	1	0	0
tax	0	0	0	0
greater	0	0	1	0
no	0	0	0	1
attention	1	0	0	0
book	1	0	0	0
needed	0	1	0	0
road	1	0	0	0
wrote	0	1	0	0
recent	0	0	1	0
conditions	1	0	0	0
cost	0	0	0	0
center	0	0	0	0
else	0	0	0	1
education	1	0	0	0
force	0	0	0	0
hours	1	0	0	0
instead	0	0	0	1
lost	0	1	0	0
space	0	0	0	0
cut	0	0	0	0
followed	0	1	0	0
miles	1	0	0	0
read	0	0	0	0
added	0	1	0	0
because	0	0	0	1
heart	1	0	0	0
simply	0	0	0	1
developed	0	1	0	0
person	1	0	0	0
taking	0	0	0	0
tried	0	1	0	0
reached	0	1	0	0
stage	0	0	0	0
ground	0	0	0	0
makes	0	0	0	0
board	0	0	0	0
material	0	0	0	0
shown	0	1	0	0
view	0	0	0	0
actually	0	0	0	1
basic	0	0	1	0
looking	0	0	0	0
class	0	0	0	0
college	1	0	0	0
living	0	0	0	0
love	0	0	0	0
plan	0	0	0	0
dead	0	0	0	0
washington	1	0	0	0
equipment	1	0	0	0
father	0	0	0	0
spirit	1	0	0	0
change	0	0	0	0
complete	0	0	0	0
difficult	0	0	1	0
getting	0	0	0	0
industry	1	0	0	0
received	0	1	0	0
religious	0	0	1	0
before	0	0	0	1
coming	0	0	0	0
need	0	0	0	0
particular	0	0	0	0
picture	0	0	0	0
terms	0	0	0	0
data	1	0	0	0
doing	0	0	0	0
fire	0	0	0	0
